Time sec,Extension in,Strain 1 %,Load lbf,Tensile stress ksi,Cycle Count ,Total Cycle Count ,Repetitions Count ,Segment ID ,Marked Data ,PIP Count ,Tensile extension in,Tensile strain %,Displacement (Strain 1) in,True strain %,Corrected Position in,Tenacity gf/tex,True stress psi
0,0,0.001109508,111.5654,63.75168,0,0,0,5,0,0,1.11E-05,0.001109508,1.11E-05,0.001109502,0,506.0524,63752.39
0.002,0,0.001114717,111.5677,63.75296,0,0,0,5,0,0,1.11E-05,0.001114717,1.11E-05,0.001114711,0,506.0625,63753.67
0.004,0,0.001117047,111.5712,63.75498,0,0,0,3204,0,0,1.12E-05,0.001117047,1.12E-05,0.001117041,0,506.0786,63755.69
0.054,0,0.001103007,111.5655,63.75171,0,0,0,3204,0,0,1.10E-05,0.001103007,1.10E-05,0.001103001,0,506.0526,63752.41
0.104,2.11E-06,0.001127328,111.5782,63.75897,0,0,0,3204,0,0,1.13E-05,0.001127328,1.13E-05,0.001127322,2.11E-06,506.1103,63759.69
0.154,6.33E-06,0.001152843,111.6278,63.78731,0,0,0,3204,0,0,1.15E-05,0.001152843,1.15E-05,0.001152836,6.33E-06,506.3352,63788.05
0.204,1.48E-05,0.00116704,111.7411,63.85204,0,0,0,3204,0,0,1.17E-05,0.00116704,1.17E-05,0.001167033,1.48E-05,506.849,63852.78
0.254,2.74E-05,0.001224923,112.2481,64.14175,0,0,0,3204,0,0,1.22E-05,0.001224923,1.22E-05,0.001224916,2.74E-05,509.1487,64142.53
0.304,4.22E-05,0.001227469,112.7957,64.4547,0,0,0,3204,0,0,1.23E-05,0.001227469,1.23E-05,0.001227461,4.22E-05,511.6328,64455.49
0.354,5.48E-05,0.001198938,113.4104,64.80595,0,0,0,3204,0,0,1.20E-05,0.001198938,1.20E-05,0.001198931,5.48E-05,514.4211,64806.73
0.404,6.54E-05,0.001244818,113.9524,65.11563,0,0,0,3204,0,0,1.24E-05,0.001244818,1.24E-05,0.001244811,6.54E-05,516.8792,65116.44
0.454,7.38E-05,0.001334933,114.4529,65.40165,0,0,0,3204,0,0,1.33E-05,0.001334933,1.33E-05,0.001334925,7.38E-05,519.1496,65402.52
0.504,8.44E-05,0.00123773,114.942,65.68117,0,0,0,3204,0,0,1.24E-05,0.00123773,1.24E-05,0.001237722,8.44E-05,521.3683,65681.98
0.554,9.28E-05,0.001316585,115.4492,65.97097,0,0,0,3204,0,0,1.32E-05,0.001316585,1.32E-05,0.001316577,9.28E-05,523.6688,65971.84
0.6040001,0.000101237,0.001405134,115.9536,66.25919,0,0,0,3204,0,0,1.41E-05,0.001405134,1.41E-05,0.001405124,0.000101237,525.9566,66260.11
0.6540001,0.000109674,0.001452463,116.37,66.49715,0,0,0,3204,0,0,1.45E-05,0.001452463,1.45E-05,0.001452453,0.000109674,527.8455,66498.11
0.7040001,0.00011811,0.001464565,116.7979,66.74164,0,0,0,3204,0,0,1.46E-05,0.001464565,1.46E-05,0.001464554,0.00011811,529.7863,66742.61
0.754,0.000126547,0.001348053,117.3188,67.03932,0,0,0,3204,0,0,1.35E-05,0.001348053,1.35E-05,0.001348044,0.000126547,532.1492,67040.23
0.804,0.000132874,0.001412379,117.7046,67.25977,0,0,0,3204,0,0,1.41E-05,0.001412379,1.41E-05,0.001412369,0.000132874,533.8991,67260.72
0.8540001,0.00014131,0.001454656,118.0993,67.48531,0,0,0,3204,0,0,1.45E-05,0.001454656,1.45E-05,0.001454646,0.00014131,535.6895,67486.3
0.9040001,0.000149747,0.001478801,118.6078,67.77588,0,0,0,3204,0,0,1.48E-05,0.001478801,1.48E-05,0.00147879,0.000149747,537.9959,67776.88
0.9540001,0.000160292,0.001548002,119.1295,68.07398,0,0,0,3204,0,0,1.55E-05,0.001548002,1.55E-05,0.001547991,0.000160292,540.3622,68075.03
1.004,0.000168729,0.001564216,119.6697,68.38266,0,0,0,3204,0,0,1.56E-05,0.001564216,1.56E-05,0.001564204,0.000168729,542.8124,68383.73
1.054,0.000177165,0.001589731,120.1479,68.65594,0,0,0,3204,0,0,1.59E-05,0.001589731,1.59E-05,0.001589718,0.000177165,544.9818,68657.03
1.104,0.000185602,0.001620592,120.6068,68.91814,0,0,0,3204,0,0,1.62E-05,0.001620592,1.62E-05,0.001620579,0.000185602,547.063,68919.26
1.154,0.000194038,0.001661361,121.0818,69.18959,0,0,0,3204,0,0,1.66E-05,0.001661361,1.66E-05,0.001661347,0.000194038,549.2178,69190.74
1.204,0.000200365,0.001699017,121.5258,69.44332,0,0,0,3204,0,0,1.70E-05,0.001699017,1.70E-05,0.001699002,0.000200365,551.2319,69444.5
1.254,0.000208802,0.001735458,121.9675,69.69574,0,0,0,3204,0,0,1.74E-05,0.001735458,1.74E-05,0.001735443,0.000208802,553.2355,69696.95
1.304,0.000215129,0.001741196,122.3733,69.92763,0,0,0,3204,0,0,1.74E-05,0.001741196,1.74E-05,0.001741181,0.000215129,555.0762,69928.84
1.354,0.000223566,0.001711236,122.8211,70.18347,0,0,0,3204,0,0,1.71E-05,0.001711236,1.71E-05,0.001711221,0.000223566,557.1071,70184.67
1.404,0.000229893,0.001768865,123.1718,70.3839,0,0,0,3204,0,0,1.77E-05,0.001768865,1.77E-05,0.001768849,0.000229893,558.6981,70385.14
1.454,0.000238329,0.001823518,123.5968,70.62672,0,0,0,3204,0,0,1.82E-05,0.001823517,1.82E-05,0.001823501,0.000238329,560.6255,70628.01
1.504,0.000246766,0.001851617,124.0836,70.90495,0,0,0,3204,0,0,1.85E-05,0.001851617,1.85E-05,0.0018516,0.000246766,562.834,70906.26
1.554,0.000255202,0.001926439,124.539,71.16515,0,0,0,3204,0,0,1.93E-05,0.001926439,1.93E-05,0.001926421,0.000255202,564.8995,71166.52
1.604,0.000265748,0.001899769,125.0756,71.47176,0,0,0,3204,0,0,1.90E-05,0.001899769,1.90E-05,0.001899751,0.000265748,567.3333,71473.11
1.654,0.000274184,0.001974552,125.5967,71.76955,0,0,0,3204,0,0,1.97E-05,0.001974551,1.97E-05,0.001974532,0.000274184,569.6972,71770.98
1.704,0.000282621,0.001985694,126.1307,72.0747,0,0,0,3204,0,0,1.99E-05,0.001985694,1.99E-05,0.001985674,0.000282621,572.1194,72076.13
1.754,0.000293166,0.001902824,126.6652,72.38009,0,0,0,3204,0,0,1.90E-05,0.001902824,1.90E-05,0.001902806,0.000293166,574.5435,72381.46
1.804,0.000301603,0.001979525,127.1041,72.63094,0,0,0,3204,0,0,1.98E-05,0.001979525,1.98E-05,0.001979506,0.000301603,576.5348,72632.38
1.854,0.000310039,0.001986927,127.6043,72.91674,0,0,0,3204,0,0,1.99E-05,0.001986927,1.99E-05,0.001986908,0.000310039,578.8034,72918.19
1.904,0.000318476,0.002100286,128.0803,73.18874,0,0,0,3204,0,0,2.10E-05,0.002100286,2.10E-05,0.002100264,0.000318476,580.9625,73190.27
1.954,0.000326912,0.002082623,128.4901,73.42289,0,0,0,3204,0,0,2.08E-05,0.002082623,2.08E-05,0.002082602,0.000326912,582.8212,73424.42
2.004,0.000333239,0.002081155,128.9465,73.6837,0,0,0,3204,0,0,2.08E-05,0.002081155,2.08E-05,0.002081133,0.000333239,584.8915,73685.24
2.054,0.000341676,0.002053114,129.3946,73.93977,0,0,0,3204,0,0,2.05E-05,0.002053114,2.05E-05,0.002053093,0.000341676,586.924,73941.28
2.104,0.000348003,0.002119613,129.7877,74.16443,0,0,0,3204,0,0,2.12E-05,0.002119613,2.12E-05,0.002119591,0.000348003,588.7073,74166
2.154,0.00035644,0.002165062,130.1293,74.35958,0,0,0,3204,0,0,2.17E-05,0.002165062,2.17E-05,0.002165039,0.00035644,590.2565,74361.19
2.204,0.000364876,0.002177242,130.6764,74.67223,0,0,0,3204,0,0,2.18E-05,0.002177242,2.18E-05,0.002177219,0.000364876,592.7382,74673.85
2.254,0.000373313,0.00224196,131.1307,74.93182,0,0,0,3204,0,0,2.24E-05,0.00224196,2.24E-05,0.002241935,0.000373313,594.7989,74933.5
2.304,0.000381749,0.002265556,131.547,75.1697,0,0,0,3204,0,0,2.27E-05,0.002265556,2.27E-05,0.00226553,0.000381749,596.6871,75171.4
2.354,0.000390185,0.002340926,132.0504,75.45737,0,0,0,3204,0,0,2.34E-05,0.002340926,2.34E-05,0.002340899,0.000390185,598.9706,75459.13
2.404,0.000398622,0.002347643,132.471,75.6977,0,0,0,3204,0,0,2.35E-05,0.002347643,2.35E-05,0.002347615,0.000398622,600.8783,75699.48
2.454,0.000407058,0.00241798,132.9869,75.99254,0,0,0,3204,0,0,2.42E-05,0.00241798,2.42E-05,0.002417951,0.000407058,603.2187,75994.38
2.504,0.000415495,0.002397556,133.3916,76.2238,0,0,0,3204,0,0,2.40E-05,0.002397556,2.40E-05,0.002397528,0.000415495,605.0544,76225.62
2.554,0.000423931,0.002406936,133.9092,76.51952,0,0,0,3204,0,0,2.41E-05,0.002406936,2.41E-05,0.002406907,0.000423931,607.4019,76521.37
2.604,0.000430258,0.002490942,134.3118,76.7496,0,0,0,3204,0,0,2.49E-05,0.002490942,2.49E-05,0.002490911,0.000430258,609.2281,76751.5
2.654,0.000440804,0.002440205,134.7612,77.0064,0,0,0,3204,0,0,2.44E-05,0.002440206,2.44E-05,0.002440176,0.000440804,611.2665,77008.28
2.704,0.00044924,0.002461745,135.3017,77.31526,0,0,0,3204,0,0,2.46E-05,0.002461745,2.46E-05,0.002461715,0.00044924,613.7183,77317.17
2.754,0.000457677,0.002530203,135.8198,77.61131,0,0,0,3204,0,0,2.53E-05,0.002530203,2.53E-05,0.002530171,0.000457677,616.0683,77613.28
2.804,0.000466113,0.002463116,136.3174,77.89567,0,0,0,3204,0,0,2.46E-05,0.002463116,2.46E-05,0.002463086,0.000466113,618.3254,77897.58
2.854,0.00047455,0.002528656,136.8098,78.17704,0,0,0,3204,0,0,2.53E-05,0.002528656,2.53E-05,0.002528624,0.00047455,620.559,78179.01
2.904,0.000485095,0.002553114,137.3112,78.46353,0,0,0,3204,0,0,2.55E-05,0.002553114,2.55E-05,0.002553081,0.000485095,622.8331,78465.54
2.954,0.000493532,0.002533121,137.7967,78.74097,0,0,0,3204,0,0,2.53E-05,0.002533121,2.53E-05,0.002533089,0.000493532,625.0353,78742.96
3.004,0.000501968,0.002551175,138.3405,79.05169,0,0,0,3204,0,0,2.55E-05,0.002551175,2.55E-05,0.002551143,0.000501968,627.5018,79053.7
3.054,0.000510405,0.002617225,138.8188,79.32504,0,0,0,3204,0,0,2.62E-05,0.002617225,2.62E-05,0.00261719,0.000510405,629.6716,79327.12
3.104,0.000518841,0.002648281,139.228,79.55888,0,0,0,3204,0,0,2.65E-05,0.002648281,2.65E-05,0.002648246,0.000518841,631.5278,79560.98
3.154,0.000525168,0.002604868,139.7013,79.8293,0,0,0,3204,0,0,2.60E-05,0.002604868,2.60E-05,0.002604834,0.000525168,633.6744,79831.38
3.204,0.000533605,0.002613915,140.1247,80.07126,0,0,0,3204,0,0,2.61E-05,0.002613915,2.61E-05,0.002613881,0.000533605,635.595,80073.36
3.254,0.000542041,0.002674736,140.5423,80.30988,0,0,0,3204,0,0,2.67E-05,0.002674736,2.67E-05,0.0026747,0.000542041,637.4891,80312.02
3.304,0.000550478,0.002692262,141.023,80.58459,0,0,0,3204,0,0,2.69E-05,0.002692262,2.69E-05,0.002692226,0.000550478,639.6698,80586.77
3.354,0.000558914,0.002732894,141.5244,80.87106,0,0,0,3204,0,0,2.73E-05,0.002732894,2.73E-05,0.002732856,0.000558914,641.9438,80873.27
3.404,0.00056946,0.002737437,142.0691,81.18233,0,0,0,3204,0,0,2.74E-05,0.002737437,2.74E-05,0.002737399,0.00056946,644.4145,81184.55
3.454,0.000577896,0.002840848,142.5296,81.4455,0,0,0,3204,0,0,2.84E-05,0.002840848,2.84E-05,0.002840808,0.000577896,646.5035,81447.81
3.504,0.000586333,0.002837245,142.9897,81.70841,0,0,0,3204,0,0,2.84E-05,0.002837245,2.84E-05,0.002837205,0.000586333,648.5906,81710.73
3.554,0.00059266,0.002944083,143.4494,81.97106,0,0,0,3204,0,0,2.94E-05,0.002944083,2.94E-05,0.00294404,0.00059266,650.6754,81973.47
3.604,0.000601096,0.002864307,143.8787,82.2164,0,0,0,3204,0,0,2.86E-05,0.002864307,2.86E-05,0.002864266,0.000601096,652.6229,82218.76
3.654,0.000609533,0.002903412,144.3248,82.47134,0,0,0,3204,0,0,2.90E-05,0.002903412,2.90E-05,0.002903369,0.000609533,654.6465,82473.74
3.704,0.00061586,0.00292785,144.6866,82.67804,0,0,0,3204,0,0,2.93E-05,0.00292785,2.93E-05,0.002927807,0.00061586,656.2873,82680.46
3.754,0.000622187,0.003003729,145.0781,82.90175,0,0,0,3204,0,0,3.00E-05,0.003003729,3.00E-05,0.003003684,0.000622187,658.0631,82904.24
3.804,0.000630624,0.003064706,145.4879,83.13592,0,0,0,3204,0,0,3.06E-05,0.003064706,3.06E-05,0.00306466,0.000630624,659.9219,83138.46
3.854,0.00063906,0.003063394,145.8993,83.37103,0,0,0,3204,0,0,3.06E-05,0.003063394,3.06E-05,0.003063348,0.00063906,661.7881,83373.58
3.904,0.000647497,0.003146088,146.3575,83.63287,0,0,0,3204,0,0,3.15E-05,0.003146088,3.15E-05,0.003146039,0.000647497,663.8666,83635.51
3.954,0.000655933,0.003147772,146.8234,83.89909,0,0,0,3204,0,0,3.15E-05,0.003147772,3.15E-05,0.003147723,0.000655933,665.9798,83901.73
4.004,0.00066437,0.003166962,147.2989,84.17081,0,0,0,3204,0,0,3.17E-05,0.003166962,3.17E-05,0.003166912,0.00066437,668.1367,84173.47
4.054,0.000674915,0.00318578,147.7972,84.45557,0,0,0,3204,0,0,3.19E-05,0.00318578,3.19E-05,0.00318573,0.000674915,670.397,84458.25
4.104,0.000683352,0.003280654,148.3129,84.75021,0,0,0,3204,0,0,3.28E-05,0.003280654,3.28E-05,0.0032806,0.000683352,672.736,84752.99
4.154,0.000693897,0.003169508,148.8693,85.06815,0,0,0,3204,0,0,3.17E-05,0.003169508,3.17E-05,0.003169458,0.000693897,675.2596,85070.84
4.204,0.000702334,0.003227744,149.369,85.3537,0,0,0,3204,0,0,3.23E-05,0.003227744,3.23E-05,0.003227692,0.000702334,677.5264,85356.46
4.254,0.00071077,0.003338734,149.823,85.61313,0,0,0,3204,0,0,3.34E-05,0.003338733,3.34E-05,0.003338678,0.00071077,679.5856,85615.99
4.304,0.000719207,0.003346057,150.309,85.89088,0,0,0,3204,0,0,3.35E-05,0.003346057,3.35E-05,0.003346001,0.000719207,681.7903,85893.75
4.354,0.000725534,0.003339066,150.711,86.12055,0,0,0,3204,0,0,3.34E-05,0.003339066,3.34E-05,0.00333901,0.000725534,683.6135,86123.43
4.404,0.00073397,0.003281026,151.131,86.36056,0,0,0,3204,0,0,3.28E-05,0.003281026,3.28E-05,0.003280972,0.00073397,685.5186,86363.39
4.454,0.000740298,0.003431551,151.5907,86.62328,0,0,0,3204,0,0,3.43E-05,0.003431551,3.43E-05,0.003431492,0.000740298,687.6041,86626.26
4.504,0.000748734,0.003359549,151.9788,86.84504,0,0,0,3204,0,0,3.36E-05,0.003359549,3.36E-05,0.003359493,0.000748734,689.3644,86847.96
4.554,0.000757171,0.003419547,152.4282,87.10181,0,0,0,3204,0,0,3.42E-05,0.003419547,3.42E-05,0.003419489,0.000757171,691.4025,87104.78
4.604,0.000765607,0.003487515,152.9121,87.37836,0,0,0,3204,0,0,3.49E-05,0.003487515,3.49E-05,0.003487455,0.000765607,693.5978,87381.41
4.654,0.000774043,0.003324791,153.3263,87.61501,0,0,0,3204,0,0,3.32E-05,0.003324791,3.32E-05,0.003324736,0.000774043,695.4763,87617.92
